project_id,program,start_date,end_date,planned_duration_days,actual_duration_days,planned_budget,actual_cost,team_size,stakeholder_satisfaction,success
PRJ0030,Program D,2021-07-21,2021-09-06,30,47,145257,152241,10,2.7,0
PRJ0031,Program A,2021-01-31,2021-04-01,63,60,114291,118351,9,4.5,0
PRJ0032,Program A,2020-02-10,2020-07-01,125,142,260176,333161,5,9.4,0
PRJ0033,Program D,2019-08-07,2020-02-03,155,180,240471,314527,12,1.6,0
PRJ0034,Program B,2020-09-08,2021-02-17,147,162,439744,473047,12,1.1,0
PRJ0035,Program B,2023-09-17,2023-11-30,77,74,362572,411779,16,1.5,0
PRJ0036,Program A,2020-08-12,2021-01-16,118,157,268803,333849,4,1.8,0
PRJ0037,Program D,2021-08-04,2022-01-14,146,163,443518,462805,3,1.3,0
PRJ0038,Program A,2022-07-07,2022-12-29,158,175,443271,526980,20,5.3,0
PRJ0039,Program A,2020-10-25,2021-01-04,45,71,161317,191028,9,6.2,0
PRJ0040,Program C,2023-11-09,2024-03-16,98,128,189789,191743,10,3.4,0
PRJ0041,Program C,2023-10-23,2024-01-07,51,76,439593,502933,3,4.6,0
PRJ0042,Program C,2020-04-04,2020-08-20,122,138,340843,402944,5,1.8,0
PRJ0043,Program B,2021-06-26,2021-10-15,105,111,123686,185206,10,4.0,0
PRJ0044,Program D,2020-07-03,2020-12-21,173,171,117661,194723,17,5.7,0
PRJ0045,Program D,2020-06-03,2020-10-18,115,137,94247,187221,7,7.6,0
PRJ0046,Program D,2019-03-09,2019-05-15,58,67,295121,303695,5,1.0,0
PRJ0047,Program D,2022-01-17,2022-04-27,98,100,197820,197004,3,5.2,0
PRJ0048,Program C,2021-07-06,2021-10-07,76,93,417257,426353,17,3.7,0
PRJ0049,Program B,2019-04-04,2019-09-11,123,160,316765,374493,10,8.7,0
PRJ0050,Program B,2020-05-23,2020-11-30,173,191,196106,220122,4,7.4,0
PRJ0051,Program C,2023-07-16,2023-11-09,114,116,308930,310176,5,6.3,0
PRJ0052,Program B,2020-03-13,2020-06-24,68,103,448342,483900,16,3.5,0
PRJ0053,Program C,2019-09-22,2020-02-22,129,153,186194,194575,16,9.2,0
PRJ0054,Program D,2021-06-12,2021-08-08,62,57,330174,356629,13,1.4,0
PRJ0055,Program C,2023-12-04,2024-04-19,130,137,394982,477245,18,2.0,0
PRJ0056,Program D,2020-03-17,2020-06-17,52,92,396861,390879,6,4.5,0
PRJ0057,Program D,2022-05-11,2022-06-13,39,33,498874,500176,7,2.1,0
PRJ0058,Program A,2022-10-21,2023-03-04,98,134,88638,146144,16,9.6,0
PRJ0059,Program C,2020-03-09,2020-07-30,129,143,379211,410368,18,8.2,0
PRJ0060,Program A,2022-08-21,2022-10-14,63,54,168033,212950,20,3.3,0
PRJ0061,Program C,2020-11-02,2021-04-17,167,166,155977,238715,9,6.3,0
PRJ0062,Program C,2022-02-27,2022-09-10,176,195,138869,225515,12,9.8,0
PRJ0063,Program A,2022-03-02,2022-08-13,125,164,155186,228308,9,9.0,0
PRJ0064,Program A,2021-09-04,2021-11-07,30,64,346818,361337,3,6.4,0
PRJ0065,Program C,2019-06-14,2019-09-14,98,92,216926,303735,18,9.1,0
PRJ0066,Program B,2023-03-05,2023-04-29,33,55,96271,173758,6,9.9,0
PRJ0067,Program D,2020-08-08,2020-09-12,45,35,385832,432651,20,7.7,0
PRJ0068,Program A,2019-12-07,2020-02-05,53,60,481734,552644,4,1.6,0
PRJ0069,Program D,2019-03-16,2019-07-24,109,130,423220,484544,3,4.6,0
PRJ0070,Program B,2021-12-14,2022-02-19,31,67,191339,186747,17,8.5,0
PRJ0071,Program B,2022-05-21,2022-12-02,157,195,271897,321276,7,3.1,0
PRJ0072,Program B,2019-01-31,2019-05-24,113,113,51062,66115,13,8.5,0
PRJ0073,Program A,2021-07-23,2022-01-18,169,179,297736,297182,12,2.1,0
PRJ0074,Program B,2020-02-18,2020-08-04,153,168,100448,91370,4,1.4,0
PRJ0075,Program A,2022-03-23,2022-06-07,62,76,145462,234185,5,4.5,0
PRJ0076,Program B,2019-11-15,2020-04-04,130,141,449445,490801,14,1.3,0
PRJ0077,Program D,2022-06-14,2022-08-10,41,57,295885,296674,7,9.6,0
PRJ0078,Program D,2020-12-06,2021-04-19,96,134,97915,185635,7,8.4,0
PRJ0079,Program C,2023-09-06,2023-12-11,94,96,316776,373432,8,8.2,0
PRJ0080,Program D,2019-09-08,2020-01-11,103,125,154592,188620,11,6.7,0
PRJ0081,Program C,2020-09-14,2020-12-18,72,95,184668,239152,4,2.9,0
PRJ0082,Program D,2019-07-27,2019-11-07,73,103,421923,444077,14,5.7,0
PRJ0083,Program A,2023-08-15,2023-11-05,58,82,449384,522254,5,6.4,0
PRJ0084,Program D,2023-05-21,2023-10-28,170,160,158099,150435,14,5.7,0
PRJ0085,Program C,2020-04-15,2020-06-05,41,51,57561,151238,19,3.3,0
PRJ0086,Program C,2022-04-19,2022-09-27,124,161,132152,189931,12,5.6,0
PRJ0087,Program B,2023-01-31,2023-04-11,75,70,175036,184065,16,5.4,0
PRJ0088,Program A,2021-10-10,2022-04-04,159,176,436193,485394,19,10.0,0
PRJ0089,Program D,2021-08-24,2021-11-02,64,70,76734,98999,20,9.1,0
PRJ0090,Program B,2020-03-17,2020-06-29,110,104,449587,542503,19,5.2,0
PRJ0091,Program D,2019-06-19,2019-11-05,119,139,76069,109941,16,6.6,0
PRJ0092,Program D,2023-06-26,2023-07-27,37,31,260977,297174,11,7.7,0
PRJ0093,Program B,2023-07-02,2023-11-28,122,149,62910,108090,10,1.3,0
PRJ0094,Program B,2022-03-01,2022-06-20,119,111,385623,399333,4,9.1,0
PRJ0095,Program B,2020-09-10,2021-02-13,144,156,131264,150750,15,8.7,0
PRJ0096,Program B,2020-09-29,2021-03-08,134,160,73275,135182,9,5.1,0
PRJ0097,Program B,2022-08-17,2023-02-23,164,190,122274,184169,11,4.5,0
PRJ0098,Program D,2023-06-26,2023-09-20,87,86,412920,467355,13,3.5,0
PRJ0099,Program B,2023-06-07,2023-10-27,143,142,241076,271707,16,5.3,0
PRJ0100,Program A,2022-11-24,2023-03-16,104,112,244053,335585,6,1.4,0
PRJ0101,Program C,2022-03-17,2022-08-19,149,155,235625,245728,15,8.7,0
PRJ0102,Program B,2019-06-03,2019-08-02,50,60,98447,153219,4,1.3,0
PRJ0103,Program B,2019-10-22,2020-04-09,167,170,477745,482127,7,4.0,0
PRJ0104,Program D,2023-06-28,2023-11-03,130,128,438538,512829,13,9.4,0
PRJ0105,Program B,2022-01-11,2022-06-23,128,163,125703,216898,8,7.6,0
PRJ0106,Program B,2019-01-17,2019-03-13,65,55,388234,381990,20,3.5,0
PRJ0107,Program B,2019-07-05,2019-12-17,125,165,329404,340013,12,3.3,0
PRJ0108,Program D,2022-04-25,2022-11-25,180,214,162581,169059,6,1.0,0
PRJ0109,Program B,2019-01-10,2019-03-19,66,68,315956,406934,11,7.3,0
PRJ0110,Program C,2019-10-21,2019-11-24,41,34,471240,500906,8,1.4,0
PRJ0111,Program D,2021-09-28,2022-02-07,142,132,239728,305411,4,5.8,0
PRJ0112,Program C,2022-06-16,2022-09-04,42,80,428292,517389,19,9.7,0
PRJ0113,Program D,2022-04-04,2022-06-24,52,81,470501,560921,7,2.0,0
PRJ0114,Program B,2020-02-14,2020-07-12,128,149,166421,227736,8,9.1,0
PRJ0115,Program C,2022-07-23,2022-12-27,134,157,51605,119439,14,9.9,0
PRJ0116,Program D,2020-03-08,2020-05-23,59,76,122303,126456,12,1.6,0
PRJ0117,Program A,2020-08-16,2020-10-21,46,66,208211,307626,8,8.9,0
PRJ0118,Program B,2022-09-24,2023-02-10,142,139,237210,303535,10,5.6,0
PRJ0119,Program D,2022-03-31,2022-07-28,91,119,311949,411650,4,9.2,0
PRJ0120,Program A,2023-03-30,2023-08-05,113,128,388269,391268,14,6.1,0
PRJ0121,Program D,2022-04-15,2022-09-26,141,164,194990,240308,15,7.0,0
PRJ0122,Program A,2021-11-03,2022-02-18,115,107,208518,199332,9,5.9,0
PRJ0123,Program B,2019-06-20,2020-01-15,170,209,174040,240117,12,8.8,0
PRJ0124,Program C,2020-11-02,2020-12-21,48,49,194118,274592,15,7.6,0
PRJ0125,Program A,2020-04-28,2020-08-25,129,119,468034,460477,19,5.7,0
PRJ0126,Program D,2020-03-21,2020-10-09,169,202,281966,347959,16,8.8,0
PRJ0127,Program B,2023-11-11,2024-04-29,176,170,316468,382384,4,3.2,0
PRJ0128,Program A,2020-12-18,2021-04-21,105,124,388467,451786,13,2.4,0
PRJ0129,Program D,2023-06-16,2023-08-12,38,57,321255,421032,3,2.4,0
PRJ0130,Program D,2022-02-25,2022-04-29,57,63,481326,488694,6,4.0,0
PRJ0131,Program D,2022-12-21,2023-07-03,157,194,66389,71717,13,3.1,0
PRJ0132,Program A,2021-07-06,2021-10-31,81,117,172177,219119,10,9.4,0
PRJ0133,Program A,2021-11-18,2022-03-22,112,124,353571,435322,13,2.0,0
PRJ0134,Program A,2021-06-17,2021-11-08,140,144,209818,298949,6,7.3,0
PRJ0135,Program C,2019-12-23,2020-07-09,173,199,172883,190189,19,2.7,0
PRJ0136,Program A,2022-08-11,2023-01-14,146,156,268958,344409,9,8.9,0
PRJ0137,Program A,2020-05-27,2020-09-05,98,101,288213,318128,10,9.7,0
PRJ0138,Program A,2019-02-14,2019-06-13,128,119,443333,470552,5,5.2,0
PRJ0139,Program C,2022-03-23,2022-09-08,169,169,437952,508831,4,8.9,0
PRJ0140,Program A,2019-11-20,2020-02-22,54,94,162221,216865,17,1.0,0
PRJ0141,Program D,2023-09-13,2024-03-11,152,180,325378,375657,7,8.4,0
PRJ0142,Program A,2023-10-07,2024-01-24,82,109,310669,353697,3,3.1,0
PRJ0143,Program D,2023-07-28,2024-02-16,180,203,284936,379199,6,9.2,0
PRJ0144,Program D,2020-11-06,2021-05-25,173,200,365585,355711,17,1.0,0
PRJ0145,Program D,2019-01-29,2019-06-03,86,125,50846,93175,5,6.0,0
PRJ0146,Program C,2023-08-22,2023-11-21,68,91,60954,78586,13,7.8,0
PRJ0147,Program C,2021-02-20,2021-07-15,138,145,391383,488482,19,3.3,0
PRJ0148,Program C,2023-10-31,2024-01-29,71,90,294761,350071,15,2.7,0
PRJ0149,Program A,2023-10-25,2024-04-17,171,175,358658,458603,13,1.8,0
PRJ0150,Program D,2023-04-06,2023-09-20,151,167,400380,445556,4,3.9,0
PRJ0151,Program C,2020-06-21,2021-01-09,162,202,409723,485789,11,6.0,0
PRJ0152,Program C,2020-12-03,2021-04-09,104,127,187541,283041,4,2.0,0
PRJ0153,Program A,2023-04-03,2023-10-22,175,202,473321,507648,11,4.4,0
PRJ0154,Program C,2020-08-01,2020-12-06,105,127,354245,413149,11,1.1,0
PRJ0155,Program A,2019-11-06,2019-12-27,38,51,114323,108120,10,8.4,0
PRJ0156,Program B,2021-10-13,2022-01-28,103,107,141922,179804,19,2.2,0
PRJ0157,Program C,2023-09-05,2024-03-16,174,193,239139,242857,3,3.6,0
PRJ0158,Program B,2022-06-24,2022-08-30,36,67,230448,255008,13,1.2,0
PRJ0159,Program A,2021-11-06,2022-06-04,170,210,226659,293248,10,4.9,0
PRJ0160,Program D,2019-06-27,2019-12-16,166,172,480192,492308,12,8.6,0
PRJ0161,Program C,2022-01-27,2022-03-18,56,50,285659,311903,9,4.5,0
PRJ0162,Program A,2023-12-12,2024-05-29,151,169,439678,531399,5,2.6,0
PRJ0163,Program D,2019-09-13,2019-10-10,34,27,379728,371373,5,7.8,1
PRJ0164,Program D,2021-08-03,2021-09-29,58,57,154537,192060,20,8.1,0
PRJ0165,Program B,2023-05-21,2023-09-16,112,118,390621,399877,7,2.6,0
PRJ0166,Program A,2022-09-13,2023-02-24,165,164,291983,383359,14,7.9,0
PRJ0167,Program D,2022-06-26,2022-11-17,138,144,92533,182691,14,9.5,0
PRJ0168,Program C,2022-07-06,2022-10-17,94,103,313972,357145,8,2.5,0
PRJ0169,Program C,2020-10-18,2021-02-23,115,128,51917,79347,4,7.9,0
PRJ0170,Program B,2020-06-19,2020-12-04,174,168,332762,362044,14,7.4,0
PRJ0171,Program D,2023-01-17,2023-05-20,100,123,82254,135628,7,5.3,0
PRJ0172,Program A,2023-01-18,2023-03-28,74,69,311987,370231,14,1.5,0
PRJ0173,Program C,2023-05-02,2023-10-01,161,152,417436,419130,19,1.7,0
PRJ0174,Program D,2023-07-25,2023-09-30,65,67,97362,143626,19,8.7,0
PRJ0175,Program D,2021-07-22,2021-11-30,99,131,332272,397332,12,9.9,0
PRJ0176,Program B,2021-07-04,2021-09-22,48,80,435925,523341,19,7.1,0
PRJ0177,Program C,2022-12-27,2023-06-19,137,174,292353,339898,17,5.0,0
PRJ0178,Program C,2022-04-01,2022-07-30,120,120,240455,269679,14,6.8,0
PRJ0179,Program A,2022-07-05,2022-12-11,119,159,115545,208061,18,6.3,0
PRJ0180,Program C,2022-12-23,2023-03-17,48,84,132180,220125,10,4.5,0
PRJ0181,Program A,2023-06-13,2023-09-01,68,80,137958,141182,19,1.6,0
PRJ0182,Program C,2020-09-08,2021-02-15,155,160,453081,483819,7,8.4,0
PRJ0183,Program B,2020-11-16,2021-05-25,170,190,445435,460585,18,4.3,0
PRJ0184,Program C,2019-06-21,2019-11-23,155,155,351953,405684,8,8.4,0
PRJ0185,Program A,2021-11-21,2022-02-21,87,92,428892,468580,10,3.3,0
PRJ0186,Program A,2019-03-07,2019-08-28,177,174,55287,145216,20,1.0,0
PRJ0187,Program B,2021-04-29,2021-07-21,90,83,307665,406283,14,2.4,0
PRJ0188,Program C,2021-09-17,2022-03-21,156,185,477603,541112,17,5.2,0
PRJ0189,Program C,2020-06-06,2020-10-11,134,127,58512,57089,11,9.5,1
PRJ0190,Program B,2021-12-14,2022-01-27,30,44,182414,180484,15,1.9,0
PRJ0191,Program C,2019-02-25,2019-07-27,160,152,158872,157538,17,8.7,1
PRJ0192,Program C,2019-03-10,2019-07-30,121,142,462432,510193,12,5.7,0
PRJ0193,Program A,2023-02-10,2023-06-24,142,134,297754,324122,18,8.4,0
PRJ0194,Program C,2020-10-19,2021-01-28,85,101,143070,139853,9,3.7,0
PRJ0195,Program C,2019-08-20,2020-01-31,146,164,129767,161681,19,8.6,0
PRJ0196,Program B,2021-08-11,2022-02-11,163,184,147829,208336,9,8.0,0
PRJ0197,Program B,2022-11-06,2023-03-12,87,126,469830,538856,16,3.1,0
PRJ0198,Program D,2020-01-29,2020-05-21,73,113,479474,537000,17,2.2,0
PRJ0199,Program A,2022-02-10,2022-05-19,90,98,92078,152913,9,8.8,0
PRJ0200,Program C,2019-06-05,2019-08-30,76,86,418432,454197,11,9.7,0
